Pair,1D Close,1D RSI,1D EMA50,1D EMA200
ZRX/BTC,0.0001391,49.05969146408902,0.0001413084835035049,0.00012210845591042557
2GIVE/BTC,5.2e-07,37.217135675989624,6.777482931565693e-07,9.479705267331264e-07
ACE/USDT,0.0682,25.79408434179813,0.11329684136867488,0.20725324291526614
AAC/USDT,0.0249,38.82676832567177,0.03952402372384137,0.02763234002800651
ADB/BTC,6.8e-07,39.6770820265635,1.0100754750757474e-06,1.118091647380028e-06
ADX/BTC,3.407e-05,28.446104641540686,5.216132422122857e-05,8.934383089730668e-05
ADH/BTC,6.58e-06,37.9708074612521,7.326575185337184e-06,4.008878621437391e-06
ADT/BTC,2.79e-06,46.458385963391216,3.1660823126874315e-06,4.780545052630156e-06
ELF/BTC,6.414e-05,32.46219404848201,8.768984219726036e-05,9.843230256545352e-05
AEON/BTC,0.0001452,19.88807132825411,0.00019013561005941745,0.0002462010915895658
ARN/BTC,4.957e-05,17.924348102660804,8.402745976997539e-05,0.00013233348170691765
AE/BTC,0.0001847,25.146550550900955,0.0002653434466801456,0.00022794165406223217
DLT/BTC,6.82e-06,22.14232750048338,1.2047446043053418e-05,2.4769677958862006e-05
AIDOC/USDT,0.0156,38.01730585548239,0.02160145502044632,0.03439167620579137
AID/BTC,1.135e-05,25.837188761262652,1.3710708056443886e-05,6.691808828013059e-06
AIX/BTC,5.43e-06,26.724861740473926,9.678230958757437e-06,1.710324653468993e-05
AION/BTC,7e-05,28.426042039326077,0.00012989125363925316,0.00022482676919452756
AST/BTC,1.292e-05,35.45882894722084,2.0479460427385175e-05,3.745870337328525e-05
AIR/USDT,0.002763,28.24393909602769,0.004679510214171783,0.01151902996339417
SOC/USDT,0.0151,25.288396132482955,0.04374347748181832,0.048510626126911816
ACAT/BTC,2.1e-07,23.81843526059032,4.006906500422815e-07,2.42076542363059e-07
AMB/BTC,2.227e-05,19.943502829296076,3.574499875163987e-05,4.640243950756007e-05
AVH/BTC,2.2e-07,7.33896709605975,2.218585176032982e-06,3.293669102902669e-06
APH/BTC,1.44e-05,34.570106367412635,1.9547904982477016e-05,1.1935025870133272e-05
APPC/BTC,1.421e-05,25.793097182418972,2.5032025126755352e-05,4.2827264716380335e-05
ANT/BTC,0.0001918,31.366345544722158,0.00024653495984529246,0.00033476871396902707
ABT/USDT,0.1782,19.114195681897616,0.4201235107863094,0.47087618631439543
ARDR/BTC,1.844e-05,39.97728086048577,2.2887976053948886e-05,4.415504972673268e-05
ARK/BTC,0.0001175,27.085079907255516,0.00017789258179515288,0.0003031804046960179
ABY/BTC,4e-07,26.250435628189617,5.541392299187102e-07,9.273210777053412e-07
ATB/USDT,0.033,41.81164235174492,0.047480548577765985,0.025599142853936323
ATL/BTC,5e-06,18.987179419395783,8.63366571431923e-06,2.480695494726087e-05
ATM/BTC,1e-07,45.53056906207102,1.845701122672519e-07,3.0553550331695207e-07
AUC/BTC,9.8e-06,37.72622311974273,1.019417290497042e-05,3.730535584990102e-06
REP/BTC,0.003327,36.10980298193653,0.004057745914892884,0.002194309784206101
AOA/BTC,6.35e-06,59.807142317963994,4.310651171113476e-06,1.6362985925251664e-06
AUR/BTC,2.964e-05,23.256152258395375,4.947132301176465e-05,9.751902525119554e-05
ATS/BTC,3e-07,32.86906314447854,6.89566121312585e-07,1.2099614001633406e-06
AVT/BTC,0.000118,54.837460998808695,0.00011468157854591111,0.00014371215342261714
BAX/BTC,1.1e-07,44.91041070440643,1.1953147028176506e-07,6.066548399089996e-08
BANCA/BTC,7e-08,32.40555281707314,1.2814719105570318e-07,1.2403269323502105e-07
BNT/USDT,1.61,27.727442223051828,2.058581084615226,1.0444824216844768
BNK/BTC,5e-07,42.34895577739557,5.394656591603118e-07,2.7058546110071136e-07
BKX/BTC,1.821e-05,28.16034807133918,2.570988200112928e-05,2.4733559245254505e-05
BAT/BTC,3.364e-05,39.516434878555565,3.936588007594043e-05,3.819307523190075e-05
BITB/BTC,3.7e-07,25.369997861765274,5.238544992360174e-07,8.664331428989367e-07
BETR/BTC,2.15e-06,32.24193364766925,4.590569413543259e-06,4.713445445682803e-06
BEZ/BTC,7.7e-06,30.487989319977753,1.0769372764541441e-05,8.37413508489086e-06
BNB/USDT,11.64,37.53527128951298,13.340683008088451,12.338850470685623
BAY/BTC,3.27e-06,32.33877257224182,4.190955764752107e-06,6.442416595749862e-06
BTC/USDT,6077.3,31.436914293922502,7061.065999340959,8818.127492459187
BCH/USDT,544.0,26.977964968719142,759.918289569765,1128.9576538695574
BCD/USDT,1.35,31.131180948606353,1.900540584897884,3.431595345759109
BTG/BTC,0.003166,33.75439983276703,0.004004314652191737,0.007927659273487717
BCI/USD,1.21,33.04820377680316,2.051327168927646,1.4648232555407468
XBC/BTC,0.002837,39.103174522455184,0.0036036600576949615,0.00538102597500607
BTCP/BTC,0.0006657,28.767339267032582,0.0009552296357265599,0.0005217137038122965
BTCD/BTC,0.0025,13.352522316592863,0.005367495299713964,0.009220318177792775
BTX/BTC,0.00023,48.23243161374458,0.00027013938153628544,0.0008512392320049325
BCY/BTC,1.629e-05,42.310691781239534,2.2024081695511783e-05,3.719826258246538e-05
CSNO/BTC,9e-06,47.29646411580291,9.694429254500972e-06,1.512977366464973e-05
STU/BTC,1e-06,40.7766778004859,1.5074796432353296e-06,3.399700848571414e-06
