,Exchange,Coin,Pair,Volume
0,Hitbtc,0x,ZRX/USDT,680330
1,Okex,Ace (tokenstars),ACE/USDT,138129
2,Okex,Achain,ACT/USDT,109623
3,Okex,Acute angle cloud,AAC/USDT,291190
4,Hitbtc,Adex,ADX/USDT,0
5,Okex,Aelf,ELF/USDT,256843
6,Okex,Aeternity,AE/USDT,287904
7,Okex,Ai doctor,AIDOC/USDT,19226
8,Okex,Airswap,AST/USDT,492
9,Hitbtc,Airtoken,AIR/USDT,40686
10,Okex,All sports,SOC/USDT,660305
11,Hitbtc,Alphacat,ACAT/USDT,14039
12,Hitbtc,Ambrosus,AMB/USDT,0
13,Hitbtc,Animation vision cash,AVH/USDT,0
14,Hitbtc,Appcoins,APPC/USDT,66
15,Bitfinex,Aragon,ANT/USD,18
16,Hitbtc,Arbitragect,ARCT/USDT,612
17,Okex,Arcblock,ABT/USDT,392360
18,Hitbtc,Ardor,ARDR/USDT,1115
19,Okex,Ark,ARK/USDT,17
20,Okex,Asch,XAS/USDT,14179
21,Okex,Atlant,ATL/USDT,0
22,Hitbtc,Atmchain,ATM/USDT,28
23,Kraken,Augur,REP/EUR,64134
24,Kucoin,Aurora,AOA/USDT,15
25,Okex,Aventus,AVT/USDT,0
26,Hitbtc,Banca,BANCA/USDT,24367
27,Hitbtc,Bancor,BNT/USDT,329006
28,Hitbtc,Bankera,BNK/USDT,5328
29,Okex,Bankex,BKX/USDT,129679
30,Poloniex,Basic attention token,BAT/USDT,8043
31,Hitbtc,Betterbetting,BETR/USDT,11
32,Binance,Binance coin,BNB/USDT,19854231
33,Hitbtc,Bitclave,CAT/USDT,1
34,Binance,Bitcoin,BTC/USDT,197346165
35,Hitbtc,Bitcoin cash,BCH/USDT,49842758
36,Okex,Bitcoin diamond,BCD/USDT,184927
37,Hitbtc,Bitcoin gold,BTG/USDT,745986
38,Bitfinex,Bitcoin interest,BCI/USD,246
39,Hitbtc,Bitcoin private,BTCP/USDT,1246
40,Hitbtc,Bitcore,BTX/USDT,1222
41,Hitbtc,Bitjob,STU/USDT,160
42,Okex,Bitkan,KAN/USDT,198220
43,Hitbtc,Blackmoon,BMC/USDT,38566
44,Hitbtc,Blockmason credit protocol,BCPT/USDT,3
45,Okex,Blockv,VEE/USDT,64
46,Hitbtc,Blox,CDT/USDT,62
47,Okex,Bread,BRD/USDT,14161
48,Hitbtc,Bridge protocol,TOLL/USDT,0
49,Hitbtc,Budbo,BUBO/USDT,0
50,Hitbtc,Bytecoin,BCN/USDT,607851
51,Okex,Bytom,BTM/USDT,873779
52,Binance,Cardano,ADA/USDT,13047622
53,Hitbtc,Cashaa,CAS/USDT,925
54,Hitbtc,Cashbet coin,CBC/USDT,0
55,Okex,Chainlink,LINK/USDT,1371
56,Okex,Change,CAG/USDT,0
57,Okex,Chatcoin,CHAT/USDT,98872
58,Hitbtc,Chronologic,DAY/USDT,0
59,Hitbtc,Cindicator,CND/USDT,84
60,Okex,Civic,CVC/USDT,142444
61,Hitbtc,Cloud,CLD/USDT,4
62,Okex,Commerceblock,CBT/USDT,561
63,Hitbtc,Consentium,CSM/USDT,0
64,Okex,Content and ad network,CAN/USDT,22510
65,Okex,Cortex,CTXC/USDT,737678
66,Okex,Cred,LBA/USDT,637238
67,Hitbtc,Crowd machine,CMCT/USDT,2059
68,Hitbtc,Crypterium,CRPT/USDT,4177
69,Okex,Crypto.com,MCO/USDT,14779
70,Okex,Cube,AUTO/USDT,2298
71,Hitbtc,Cvcoin,CVCOIN/USDT,13
72,Okex,Cybermiles,CMT/USDT,216950
73,Okex,Cybervein,CVT/USDT,9906
74,Hitbtc,Cyclean,CCL/USDT,56802
75,Okex,Dadi,DADI/USDT,2522
76,Hitbtc,Dash,DASH/USDT,3903028
77,Okex,Datum,DAT/USDT,47351
78,Hitbtc,Decentbet,DBET/USDT,18
79,Okex,Decentraland,MANA/USDT,52357
80,Bittrex,Decred,DCR/USDT,5253
81,Okex,Delphy,DPY/USDT,970638
82,Okex,Dent,DENT/USDT,6186
83,Hitbtc,Dentacoin,DCN/USDT,6075
84,Bittrex,Digibyte,DGB/USDT,44744
85,Hitbtc,Digitalnote,XDN/USDT,250210
86,Okex,Digixdao,DGD/USDT,30
87,Hitbtc,Dimcoin,DIM/USDT,10718
88,Kucoin,Distributed credit chain,DCC/USDT,937
89,Okex,District0x,DNT/USDT,22
90,Hitbtc,Dogecoin,DOGE/USDT,729476
91,Hitbtc,Domraider,DRT/USDT,0
92,Hitbtc,Dorado,DOR/USDT,62243
93,Kucoin,Dragonchain,DRGN/USDT,15948
94,Hitbtc,Dws,DWS/USDT,5
95,Hitbtc,Echolink,EKO/USDT,38
96,Okex,Egretia,EGT/USDT,3199
97,Hitbtc,Eidoo,EDO/USDT,18702
98,Hitbtc,Ejoy,EJOY/USDT,28271
99,Hitbtc,Electrify.asia,ELEC/USDT,68
100,Hitbtc,Emercoin,EMC/USDT,114817
101,Okex,Encrypgen,DNA/USDT,4155
102,Okex,Enigma,ENG/USDT,0
103,Okex,Enjin coin,ENJ/USDT,1706
104,Okex,Eos,EOS/USDT,84310156
105,Binance,Ethereum,ETH/USDT,82302691
106,Okex,Ethereum classic,ETC/USDT,22977009
107,Hitbtc,Etherparty,FUEL/USDT,86
108,Okex,Ethlend,LEND/USDT,13246
109,Okex,Everex,EVX/USDT,1655
110,Bitfinex,Everipedia,IQX/USD,1116
111,Okex,Exchange union,XUC/USDT,125965
112,Okex,Fairgame,FAIR/USDT,2729
113,Okex,Firstblood,1ST/USDT,128271
114,Hitbtc,Flip,FLP/USDT,0
115,Hitbtc,Freyrchain,FREC/USDT,44
116,Hitbtc,Friendz,FDZ/USDT,0
117,Okex,Funfair,FUN/USDT,10142
118,Okex,Gas,GAS/USDT,30176
119,Okex,Genaro network,GNX/USDT,4641
120,Okex,Gifto,GTO/USDT,6729349
121,Okex,Global social chain,GSC/USDT,6640
122,Kraken,Gnosis,GNO/USD,8540
123,Hitbtc,Gobyte,GBX/USDT,19316
124,Kucoin,Gochain,GO/USDT,109969
125,Okex,Golem,GNT/USDT,67292
126,Kucoin,Havven,HAV/USDT,76465
127,Hitbtc,Helbiz,HBZ/USDT,6
128,Okex,Hi mutual society,HMC/USDT,57696
129,Okex,High performance blockchain,HPB/USDT,859265
130,Okex,Horizen,ZEN/USDT,80940
131,Hitbtc,Htmlcoin,HTML/USDT,143
132,Okex,Hycon,HYC/USDT,1318123
133,Okex,Hydro protocol,HOT/USDT,14312
134,Okex,Hypercash,HC/USDT,147216
135,Binance,Icon,ICX/USDT,9269764
136,Okex,Iconomi,ICN/USDT,0
137,Hitbtc,Icos,ICOS/USDT,195
138,Hitbtc,Imbrex,REX/USDT,0
139,Hitbtc,Ink,INK/USDT,0
140,Okex,Ins ecosystem,INS/USDT,52798
141,Okex,Insurchain,INSUR/USDT,101419
142,Okex,Internet node token,INT/USDT,333143
143,Okex,Iost,IOST/USDT,1090395
144,Okex,Iot chain,ITC/USDT,148534
145,Binance,Iota,IOTA/USDT,7016146
146,Okex,Ipchain,IPC/USDT,25047
147,Hitbtc,Karma,KRM/USDT,9
148,Okex,Kcash,KCASH/USDT,110268
149,Hitbtc,Komodo,KMD/USDT,1328
150,Kucoin,Kucoin shares,KCS/USDT,30418
151,Okex,Kyber network,KNC/USDT,115659
152,Hitbtc,Level up coin,LUC/USDT,22
153,Okex,Leverj,LEV/USDT,142575
154,Okex,Lightchain,LIGHT/USDT,160449
155,Okex,Linkeye,LET/USDT,351730
156,Poloniex,Lisk,LSK/USDT,17052
157,Hitbtc,Litecoin,LTC/USDT,20644810
158,Hitbtc,Local world forwarders,LWF/USDT,15
159,Hitbtc,Locktrip,LOC/USDT,3093
160,Poloniex,Loom network,LOOM/USDT,3454
161,Okex,Loopring,LRC/USDT,225187
162,Kucoin,Lympo,LYM/USDT,85889
163,Okex,Maggie,MAG/USDT,5698
164,Hitbtc,Maidsafecoin,MAID/USDT,144174
165,Okex,Maker,MKR/USDT,257665
166,Hitbtc,Matrix ai network,MAN/USDT,9
167,Hitbtc,Matryx,MTX/USDT,21
168,Okex,Measurable data token,MDT/USDT,108320
169,Okex,Merculet,MVP/USDT,656
170,Okex,Metal,MTL/USDT,16
171,Bitfinex,Metaverse etp,ETP/USD,359111
172,Okex,Micromoney,AMM/USDT,32285
173,Okex,Mithril,MITH/USDT,2194174
174,Hitbtc,Mobilego,EMGO/USDT,639
175,Okex,Moeda loyalty points,MDA/USDT,0
176,Okex,Molecular future,MOF/USDT,81758
177,Bitfinex,Monero,XMR/USD,2928614
178,Hitbtc,Monero classic,XMC/USDT,0
179,Hitbtc,Monero original,XMO/USDT,7569
180,Okex,Monetha,MTH/USDT,15
181,Hitbtc,Naga,NGC/USDT,1003
182,Okex,Nano,NANO/USDT,10901
183,Okex,Nebulas,NAS/USDT,196945
184,Hitbtc,Nem,XEM/USDT,309791
185,Binance,Neo,NEO/USDT,11023179
186,Hitbtc,Neumark,NEU/USDT,24
187,Hitbtc,Neurotoken,NTK/USDT,4
188,Hitbtc,Nexo,NEXO/USDT,6440
189,Hitbtc,Noah coin,NOAH/USDT,194780
190,Binance,Nuls,NULS/USDT,709758
191,Kucoin,Nusd,NUSD/USDT,74890
192,Hitbtc,Nxt,NXT/USDT,98810
193,Okex,Oax,OAX/USDT,161
194,Okex,Ofcoin,OF/USDT,112449
195,Okex,Olympus labs,MOT/USDT,8017
196,Bittrex,Omisego,OMG/USDT,101182
197,Kucoin,Oneledger,OLT/USDT,365
198,Okex,Oneroot network,RNT/USDT,202894
199,Binance,Ontology,ONT/USDT,6041058
200,Kucoin,Open platform,OPEN/USDT,517
201,Okex,Origin sport,ORS/USDT,26877
202,Okex,Ost,OST/USDT,2536
203,Hitbtc,Own,CHX/USDT,0
204,Hitbtc,Paragon,PRG/USDT,19900
205,Bitfinex,Parkingo,GOT/USD,8567
206,Hitbtc,Patron,PAT/USDT,236
207,Hitbtc,Peercoin,PPC/USDT,34670
208,Hitbtc,Pillar,PLR/USDT,0
209,Okex,Po.et,POE/USDT,10793
210,Hitbtc,Polyswarm,NCT/USDT,21719
211,Okex,Populous,PPT/USDT,20371
212,Okex,Primas,PST/USDT,1880104
213,Okex,Prochain,PRA/USDT,20142
214,Bitfinex,Project pai,PAI/USD,55
215,Binance,Qtum,QTUM/USDT,930464
216,Hitbtc,Quanta utility token,QNTU/USDT,80
217,Okex,Qunqun,QUN/USDT,34354
218,Okex,Qvolta,QVT/USDT,1
219,Okex,Raiden network token,RDN/USDT,968
220,Okex,Realchain,RCT/USDT,9781
221,Okex,Refereum,RFR/USDT,33884
222,Okex,Reftoken,REF/USDT,18
223,Hitbtc,Rentberry,BERRY/USDT,166
224,Okex,Republic protocol,REN/USDT,7997
225,Okex,Request network,REQ/USDT,1545
226,Okex,Revain,R/USDT,5838
227,Okex,Ripio credit network,RCN/USDT,2402
228,Okex,Salt,SALT/USDT,2440
229,Okex,Santiment network token,SAN/USDT,0
230,Hitbtc,Savedroid,SVD/USDT,0
231,Hitbtc,Segwit2x,B2X/USDT,35338
232,Okex,Selfkey,KEY/USDT,7370
233,Okex,Selfsell,SSC/USDT,20781
234,Hitbtc,Sentinel,SENT/USDT,143
235,Okex,Show,SHOW/USDT,246134
236,Hitbtc,Showhand,HAND/USDT,606
237,Bittrex,Siacoin,SC/USDT,395077
238,Okex,Singulardtv,SNGLS/USDT,253
239,Hitbtc,Sirin labs token,SRN/USDT,0
240,Hitbtc,Smartcash,SMART/USDT,17605
241,Hitbtc,Smartmesh,SMT/USDT,56
242,Okex,Smartshare,SSP/USDT,0
243,Hitbtc,Spacechain,SPC/USDT,264
244,Hitbtc,Speed mining service,SMS/USDT,109
