Pair,1H Close,1H RSI,1H EMA50,1H EMA200,4H Close,4H RSI,4H EMA50,4H EMA200,1D Close,1D RSI,1D EMA50,1D EMA200,1H Close/EMA50,1H Close/EMA200,4H Close/EMA50,4H Close/EMA200,1D Close/EMA50,1D Close/EMA200
1ST/BTC,1.401e-05,39.564994238912135,1.4271418954490594e-05,1.5220070080671021e-05,1.4000000000000001e-05,31.611166351308952,1.526470335389154e-05,1.8847025929050635e-05,1.454e-05,22.424281220890066,2.047830901411469e-05,2.962245692144858e-05,0.9816823431976722,0.9204951045391196,0.9171485141524799,0.7428227696349973,0.7100195621610307,0.49084382293327256
2GIVE/BTC,4.9e-07,45.44093047606266,4.982808041946887e-07,5.105543335947672e-07,4.9e-07,46.309893668028316,5.16150061821345e-07,6.36900755886563e-07,5.2e-07,37.21713567598962,6.777482931565693e-07,9.479705267331265e-07,0.9833812498394916,0.9597411436114036,0.9493363195016019,0.769350633471807,0.7672464914343543,0.5485402608370238
AAC/USDT,0.0185,23.883944649077673,0.024023904628066632,0.02670750721389206,0.0186,21.216597659593305,0.026910015394033742,0.032563554532605406,0.0249,38.82676832567177,0.03952402372384137,0.02763234002800651,0.7700663271193156,0.6926891323791208,0.6911924697049349,0.5711907151099274,0.6299965857216105,0.9011180368641537
ABT/USDT,0.1802,42.76233124148713,0.18553646210147065,0.22308077844992105,0.1802,34.94844996172245,0.22197505637730688,0.3498084952253577,0.1782,19.114195681897613,0.4201235107863094,0.4708761863143954,0.9712376637938039,0.8077791428383989,0.8118029248011595,0.5151390045113383,0.4241609798663213,0.3784434320087258
ABY/BTC,3.6e-07,44.59177073915457,3.783254555611332e-07,4.1468704516993253e-07,3.6e-07,37.40556060286377,4.1217239597605366e-07,5.02270990763137e-07,4e-07,26.25043562818961,5.541392299187103e-07,9.273210777053413e-07,0.9515616639278136,0.8681245391991385,0.8734209362747214,0.716744559451912,0.7218402495320142,0.43135005729601356
ABYSS/BTC,3.58e-06,28.442236463383487,3.899553851643412e-06,4.3595953892149285e-06,3.58e-06,35.36073493523644,4.262618647878331e-06,4.084144103490075e-06,4.23e-06,53.005614823549,3.7428017534647126e-06,1.8305866320646073e-06,0.9180537405557971,0.8211771231927747,0.8398593202284008,0.8765606475395268,1.1301693967852526,2.310734671556757
ACAT/BTC,1.7e-07,40.231019724648036,1.880639605761037e-07,2.2921822287841096e-07,1.7e-07,28.36153367485473,2.2900638524300923e-07,3.748595421400965e-07,2.1e-07,23.81843526059032,4.006906500422815e-07,2.42076542363059e-07,0.9039477818037668,0.7416513306194537,0.7423373798927273,0.4535031949019075,0.524095084269724,0.8674942146399648
ACE/USDT,0.0651,47.850557233707065,0.06606207190397867,0.07034847854437468,0.0651,44.767462415591844,0.07217823885091124,0.09820614762863708,0.0682,25.79408434179813,0.11329684136867488,0.20725324291526612,0.9854368493713452,0.9253931477556545,0.9019338936000948,0.6628912911457768,0.6019585292591962,0.3290660210700927
ADA/USDT,0.1072,26.100264578005934,0.11216870274817696,0.11908082177910595,0.1067,35.405466734094404,0.1190820438095902,0.13840228510758254,0.1093,33.07911056403661,0.12904697015868924,0.061858502248412287,0.9557033055884413,0.9002289235025202,0.8960208994280545,0.7709410283006543,0.8469784285953683,1.7669357651284772
ADB/BTC,6.3e-07,18.463658101571635,6.798654024956654e-07,7.275070290143231e-07,6.3e-07,29.32341747940953,7.296012157605121e-07,8.994116846743561e-07,6.8e-07,39.677082026563504,1.0100754750757474e-06,1.118091647380028e-06,0.9266540078188736,0.8659710145392926,0.8634854032463597,0.7004578778939256,0.6732170187074441,0.6081791252026721
ADH/BTC,5.88e-06,43.59421222562067,6.129633556878389e-06,6.945546211174858e-06,5.94e-06,30.98069507129593,6.8905411231547535e-06,7.568747451340677e-06,6.58e-06,37.9708074612521,7.326575185337184e-06,4.008878621437391e-06,0.9592743098650225,0.8465856854482553,0.8620513097352274,0.7848062097709216,0.8981003857257455,1.6413567536850813
ADT/BTC,2.63e-06,36.35113526845803,2.763330028194188e-06,2.792831996116906e-06,2.62e-06,35.646497459967186,2.917085479875134e-06,2.990995637845955e-06,2.79e-06,46.458385963391216,3.166082312687432e-06,4.780545052630156e-06,0.9517502336551098,0.9416964585255023,0.8981567451743475,0.8759624945113135,0.8812152447267848,0.5836154600122428
ADX/BTC,3.006e-05,19.055199624880675,3.2645524744075425e-05,3.6831065068508694e-05,3.008e-05,12.331432553012656,3.6641475669547774e-05,4.7564599530500014e-05,3.407e-05,28.44610464154069,5.216132422122857e-05,8.934383089730668e-05,0.9208000249852117,0.81615885785779,0.8209276359739811,0.6324030959350703,0.6531659329717365,0.3813357862297245
AE/BTC,0.0001715,29.242983681684713,0.00017997550208902216,0.0002050479760922356,0.0001715,26.34166405481786,0.00020082688802887432,0.00024148104813046997,0.0001847,25.146550550900955,0.0002653434466801456,0.00022794165406223217,0.9529074680128972,0.8363896258252025,0.8539693149820766,0.7102006609948956,0.6960789961496352,0.8102950764302762
AEON/BTC,0.00012429999999999999,46.975988410100534,0.0001304011122251843,0.0001534894922440809,0.00012429999999999999,30.600318226739567,0.00015271021369853754,0.00018156116706715563,0.0001452,19.88807132825411,0.00019013561005941742,0.00024620109158956583,0.9532127286257456,0.8098274232501634,0.8139599637086381,0.6846177627511286,0.7636654698960651,0.589761804314249
AGI/BTC,7.68e-06,21.86083938371439,8.45242731932031e-06,9.167057375991767e-06,7.69e-06,23.367784323931023,9.159894629967294e-06,1.1975466809174538e-05,8.63e-06,34.8026025230985,1.1128346950538832e-05,5.8241650792847125e-06,0.9086147339528471,0.8377824731536726,0.8395293079946113,0.6421461578523691,0.77549702919553,1.4817574506421585
AID/BTC,9.2e-06,40.96443901974453,1.006032650212556e-05,1.207864174205407e-05,9.2e-06,24.127994198801456,1.1945136428895047e-05,1.4443410267737479e-05,1.135e-05,25.83718876126265,1.3710708056443885e-05,6.691808828013058e-06,0.9144832424729169,0.7616750456277269,0.7701879383935192,0.6369686818735749,0.8278201208336299,1.6961034440324947
