,Coin,Pair_tuple,Exchange
0,ZRX,BTC,Binance
1,2GIVE,BTC,Bittrex
2,ACE,BTC,Okex
3,ACT,BTC,Okex
4,AAC,BTC,Okex
5,ADB,BTC,Kucoin
6,ADX,BTC,Binance
7,ADH,BTC,Hitbtc
8,ADT,BTC,Bittrex
9,ELF,BTC,Binance
10,AEON,BTC,Bittrex
11,ARN,BTC,Binance
12,AE,BTC,Binance
13,DLT,BTC,Binance
14,AIDOC,BTC,Okex
15,AID,BTC,Bittrex
16,AIX,BTC,Kucoin
17,AION,BTC,Binance
18,ABL,BTC,Okex
19,AST,BTC,Binance
20,AIR,BTC,Hitbtc
21,SOC,BTC,Okex
22,ACAT,BTC,Hitbtc
23,AMB,BTC,Binance
24,AVH,BTC,Hitbtc
25,APH,BTC,Kucoin
26,APPC,BTC,Binance
27,ANT,BTC,Bittrex
28,ARCT,BTC,Hitbtc
29,ABT,BTC,Okex
30,ARDR,BTC,Hitbtc
31,ARK,BTC,Binance
32,ABY,BTC,Bittrex
33,XAS,BTC,Okex
34,ATL,BTC,Hitbtc
35,ATM,BTC,Hitbtc
36,AUC,BTC,Hitbtc
37,REP,BTC,Binance
38,AOA,BTC,Kucoin
39,AUR,BTC,Bittrex
40,ATS,BTC,Hitbtc
41,AVT,BTC,Okex
42,AXPR,BTC,Kucoin
43,BAX,BTC,Kucoin
44,BANCA,BTC,Hitbtc
45,BNT,BTC,Hitbtc
46,BNK,BTC,Hitbtc
47,BKX,BTC,Okex
48,BAT,BTC,Binance
49,BITB,BTC,Bittrex
50,BETR,BTC,Hitbtc
51,BNB,BTC,Binance
52,BAY,BTC,Bittrex
53,CAT,BTC,Kucoin
54,BCH,BTC,Hitbtc
55,BCD,BTC,Binance
56,BTG,BTC,Hitbtc
57,BCI,BTC,Hitbtc
58,BTCP,BTC,Hitbtc
59,BCX,BTC,Okex
60,BTX,BTC,Hitbtc
61,BCY,BTC,Bittrex
62,CSNO,BTC,Hitbtc
63,STU,BTC,Hitbtc
64,KAN,BTC,Okex
65,BSD,BTC,Bittrex
66,BTS,BTC,Binance
67,BITS,BTC,Bittrex
68,TUBE,BTC,Bittrex
69,BLK,BTC,Bittrex
70,BMC,BTC,Hitbtc
71,XBP,BTC,Hitbtc
72,ARY,BTC,Kucoin
73,BCPT,BTC,Binance
74,BMH,BTC,Hitbtc
75,BLOCK,BTC,Bittrex
76,BPT,BTC,Kucoin
77,TIX,BTC,Bittrex
78,VEE,BTC,Bittrex
79,BLT,BTC,Bittrex
80,CDT,BTC,Binance
81,BLZ,BTC,Binance
82,BFT,BTC,Bittrex
83,BOS,BTC,Kucoin
84,BNTY,BTC,Kucoin
85,BOXX,BTC,Bittrex
86,BRD,BTC,Binance
87,BRK,BTC,Bittrex
88,BRX,BTC,Bittrex
89,TOLL,BTC,Hitbtc
90,BUBO,BTC,Hitbtc
91,BU,BTC,Kucoin
92,BURST,BTC,Bittrex
93,GBYTE,BTC,Bittrex
94,BYC,BTC,Bittrex
95,BCN,BTC,Binance
96,BTM,BTC,Okex
97,CANN,BTC,Bittrex
98,CAN,BTC,Kucoin
99,CAPP,BTC,Kucoin
100,ADA,BTC,Binance
101,CXO,BTC,Kucoin
102,CIT,BTC,Okex
103,CTX,BTC,Hitbtc
104,CV,BTC,Kucoin
105,CAS,BTC,Hitbtc
106,CBC,BTC,Bittrex
107,CENNZ,BTC,Hitbtc
108,LINK,BTC,Binance
109,CAG,BTC,Kucoin
110,CHAT,BTC,Binance
111,TIME,BTC,Kucoin
112,DAY,BTC,Hitbtc
113,CND,BTC,Binance
114,COVAL,BTC,Bittrex
115,CVC,BTC,Binance
116,CLAM,BTC,Poloniex
117,XCLR,BTC,Hitbtc
118,POLL,BTC,Kucoin
119,CLOAK,BTC,Binance
120,COFI,BTC,Kucoin
121,CHP,BTC,Kucoin
122,COIN,BTC,Hitbtc
123,CLN,BTC,Hitbtc
124,CBT,BTC,Okex
125,CSM,BTC,Hitbtc
126,DAG,BTC,Kucoin
127,CAN,BTC,Okex
128,CPY,BTC,Hitbtc
129,CTXC,BTC,Okex
130,COSM,BTC,Kucoin
131,COSS,BTC,Hitbtc
132,XCP,BTC,Poloniex
133,COV,BTC,Kucoin
134,CPC,BTC,Kucoin
135,LBA,BTC,Okex
136,CRB,BTC,Bittrex
137,CS,BTC,Kucoin
138,CMCT,BTC,Bittrex
139,CRW,BTC,Bittrex
140,CPT,BTC,Hitbtc
141,CRPT,BTC,Kucoin
142,MCO,BTC,Binance
143,C20,BTC,Hitbtc
144,CNX,BTC,Hitbtc
145,PING,BTC,Hitbtc
146,AUTO,BTC,Okex
147,CURE,BTC,Bittrex
148,CVCOIN,BTC,Hitbtc
149,CMT,BTC,Binance
150,CVT,BTC,Okex
151,DACC,BTC,Kucoin
152,DADI,BTC,Okex
153,DAN,BTC,Hitbtc
154,DASH,BTC,Hitbtc
155,DSH,BTC,Hitbtc
156,DTA,BTC,Bittrex
157,DTB,BTC,Bittrex
158,DAT,BTC,Okex
159,DATX,BTC,Kucoin
160,DAV,BTC,Hitbtc
161,DRPU,BTC,Hitbtc
162,DEB,BTC,Kucoin
163,DCT,BTC,Bittrex
164,DBET,BTC,Hitbtc
165,MANA,BTC,Binance
166,HST,BTC,Kucoin
167,DCR,BTC,Bittrex
168,DBC,BTC,Kucoin
169,ONION,BTC,Kucoin
170,DPY,BTC,Okex
171,DENT,BTC,Binance
172,DCN,BTC,Hitbtc
173,DMD,BTC,Bittrex
174,DGB,BTC,Bittrex
175,DAXT,BTC,Hitbtc
176,DIT,BTC,Hitbtc
177,XDN,BTC,Hitbtc
178,DGD,BTC,Binance
179,DIM,BTC,Hitbtc
180,DPN,BTC,Hitbtc
181,DCC,BTC,Kucoin
182,DNT,BTC,Binance
183,DMT,BTC,Bittrex
184,MTC,BTC,Kucoin
185,DOCK,BTC,Binance
186,DOGE,BTC,Poloniex
187,DRT,BTC,Hitbtc
188,DOPE,BTC,Bittrex
189,DOR,BTC,Hitbtc
190,DOV,BTC,Hitbtc
191,DRG,BTC,Hitbtc
192,DRGN,BTC,Kucoin
193,DBIX,BTC,Hitbtc
194,DWS,BTC,Hitbtc
195,DYN,BTC,Bittrex
196,EFL,BTC,Bittrex
197,EBTC,BTC,Kucoin
198,EBST,BTC,Bittrex
199,EKO,BTC,Hitbtc
200,EDN,BTC,Kucoin
201,EDG,BTC,Hitbtc
202,EGT,BTC,Kucoin
203,EDO,BTC,Binance
