,Coin,Pair_tuple,Exchange
0,ZRX,USDT,Hitbtc
1,ACE,USDT,Okex
2,ACT,USDT,Okex
3,AAC,USDT,Okex
4,ADX,USDT,Hitbtc
5,ELF,USDT,Okex
6,AE,USDT,Okex
7,AIDOC,USDT,Okex
8,AST,USDT,Okex
9,AIR,USDT,Hitbtc
10,SOC,USDT,Okex
11,ACAT,USDT,Hitbtc
12,AMB,USDT,Hitbtc
13,AVH,USDT,Hitbtc
14,APPC,USDT,Hitbtc
15,ANT,USD,Bitfinex
16,ARCT,USDT,Hitbtc
17,ABT,USDT,Okex
18,ARDR,USDT,Hitbtc
19,ARK,USDT,Okex
20,XAS,USDT,Okex
21,ATL,USDT,Okex
22,ATM,USDT,Hitbtc
23,REP,EUR,Kraken
24,AOA,USDT,Kucoin
25,AVT,USDT,Okex
26,BANCA,USDT,Hitbtc
27,BNT,USDT,Hitbtc
28,BNK,USDT,Hitbtc
29,BKX,USDT,Okex
30,BAT,USDT,Poloniex
31,BETR,USDT,Hitbtc
32,BNB,USDT,Binance
33,CAT,USDT,Hitbtc
34,BTC,USDT,Binance
35,BCH,USDT,Hitbtc
36,BCD,USDT,Okex
37,BTG,USDT,Hitbtc
38,BCI,USD,Bitfinex
39,BTCP,USDT,Hitbtc
40,BTX,USDT,Hitbtc
41,STU,USDT,Hitbtc
42,KAN,USDT,Okex
43,BMC,USDT,Hitbtc
44,BCPT,USDT,Hitbtc
45,VEE,USDT,Okex
46,CDT,USDT,Hitbtc
47,BRD,USDT,Okex
48,TOLL,USDT,Hitbtc
49,BUBO,USDT,Hitbtc
50,BCN,USDT,Hitbtc
51,BTM,USDT,Okex
52,ADA,USDT,Binance
53,CAS,USDT,Hitbtc
54,CBC,USDT,Hitbtc
55,LINK,USDT,Okex
56,CAG,USDT,Okex
57,CHAT,USDT,Okex
58,DAY,USDT,Hitbtc
59,CND,USDT,Hitbtc
60,CVC,USDT,Okex
61,CLD,USDT,Hitbtc
62,CBT,USDT,Okex
63,CSM,USDT,Hitbtc
64,CAN,USDT,Okex
65,CTXC,USDT,Okex
66,LBA,USDT,Okex
67,CMCT,USDT,Hitbtc
68,CRPT,USDT,Hitbtc
69,MCO,USDT,Okex
70,AUTO,USDT,Okex
71,CVCOIN,USDT,Hitbtc
72,CMT,USDT,Okex
73,CVT,USDT,Okex
74,CCL,USDT,Hitbtc
75,DADI,USDT,Okex
76,DASH,USDT,Hitbtc
77,DAT,USDT,Okex
78,DBET,USDT,Hitbtc
79,MANA,USDT,Okex
80,DCR,USDT,Bittrex
81,DPY,USDT,Okex
82,DENT,USDT,Okex
83,DCN,USDT,Hitbtc
84,DGB,USDT,Bittrex
85,XDN,USDT,Hitbtc
86,DGD,USDT,Okex
87,DIM,USDT,Hitbtc
88,DCC,USDT,Kucoin
89,DNT,USDT,Okex
90,DOGE,USDT,Hitbtc
91,DRT,USDT,Hitbtc
92,DOR,USDT,Hitbtc
93,DRGN,USDT,Kucoin
94,DWS,USDT,Hitbtc
95,EKO,USDT,Hitbtc
96,EGT,USDT,Okex
97,EDO,USDT,Hitbtc
98,EJOY,USDT,Hitbtc
99,ELEC,USDT,Hitbtc
100,EMC,USDT,Hitbtc
101,DNA,USDT,Okex
102,ENG,USDT,Okex
103,ENJ,USDT,Okex
104,EOS,USDT,Okex
105,ETH,USDT,Binance
106,ETC,USDT,Okex
107,FUEL,USDT,Hitbtc
108,LEND,USDT,Okex
109,EVX,USDT,Okex
110,IQX,USD,Bitfinex
111,XUC,USDT,Okex
112,FAIR,USDT,Okex
113,1ST,USDT,Okex
114,FLP,USDT,Hitbtc
115,FREC,USDT,Hitbtc
116,FDZ,USDT,Hitbtc
117,FUN,USDT,Okex
118,GAS,USDT,Okex
119,GNX,USDT,Okex
120,GTO,USDT,Okex
121,GSC,USDT,Okex
122,GNO,USD,Kraken
123,GBX,USDT,Hitbtc
124,GO,USDT,Kucoin
125,GNT,USDT,Okex
126,HAV,USDT,Kucoin
127,HBZ,USDT,Hitbtc
128,HMC,USDT,Okex
129,HPB,USDT,Okex
130,ZEN,USDT,Okex
131,HTML,USDT,Hitbtc
132,HYC,USDT,Okex
133,HOT,USDT,Okex
134,HC,USDT,Okex
135,ICX,USDT,Binance
136,ICN,USDT,Okex
137,ICOS,USDT,Hitbtc
138,REX,USDT,Hitbtc
139,INK,USDT,Hitbtc
140,INS,USDT,Okex
141,INSUR,USDT,Okex
142,INT,USDT,Okex
143,IOST,USDT,Okex
144,ITC,USDT,Okex
145,IOTA,USDT,Binance
146,IPC,USDT,Okex
147,KRM,USDT,Hitbtc
148,KCASH,USDT,Okex
149,KMD,USDT,Hitbtc
150,KCS,USDT,Kucoin
151,KNC,USDT,Okex
152,LUC,USDT,Hitbtc
153,LEV,USDT,Okex
154,LIGHT,USDT,Okex
155,LET,USDT,Okex
156,LSK,USDT,Poloniex
157,LTC,USDT,Hitbtc
158,LWF,USDT,Hitbtc
159,LOC,USDT,Hitbtc
160,LOOM,USDT,Poloniex
161,LRC,USDT,Okex
162,LYM,USDT,Kucoin
163,MAG,USDT,Okex
164,MAID,USDT,Hitbtc
165,MKR,USDT,Okex
166,MAN,USDT,Hitbtc
167,MTX,USDT,Hitbtc
168,MDT,USDT,Okex
169,MVP,USDT,Okex
170,MTL,USDT,Okex
171,ETP,USD,Bitfinex
172,AMM,USDT,Okex
173,MITH,USDT,Okex
174,EMGO,USDT,Hitbtc
175,MDA,USDT,Okex
176,MOF,USDT,Okex
177,XMR,USD,Bitfinex
178,XMC,USDT,Hitbtc
179,XMO,USDT,Hitbtc
180,MTH,USDT,Okex
181,NGC,USDT,Hitbtc
182,NANO,USDT,Okex
183,NAS,USDT,Okex
184,XEM,USDT,Hitbtc
185,NEO,USDT,Binance
186,NEU,USDT,Hitbtc
187,NTK,USDT,Hitbtc
188,NEXO,USDT,Hitbtc
189,NOAH,USDT,Hitbtc
190,NULS,USDT,Binance
191,NUSD,USDT,Kucoin
192,NXT,USDT,Hitbtc
193,OAX,USDT,Okex
194,OF,USDT,Okex
195,MOT,USDT,Okex
196,OMG,USDT,Bittrex
197,OLT,USDT,Kucoin
198,RNT,USDT,Okex
199,ONT,USDT,Binance
200,OPEN,USDT,Kucoin
201,ORS,USDT,Okex
202,OST,USDT,Okex
203,CHX,USDT,Hitbtc
204,PRG,USDT,Hitbtc
205,GOT,USD,Bitfinex
206,PAT,USDT,Hitbtc
207,PPC,USDT,Hitbtc
208,PLR,USDT,Hitbtc
209,POE,USDT,Okex
210,NCT,USDT,Hitbtc
211,PPT,USDT,Okex
212,PST,USDT,Okex
213,PRA,USDT,Okex
214,PAI,USD,Bitfinex
215,QTUM,USDT,Binance
216,QNTU,USDT,Hitbtc
217,QUN,USDT,Okex
218,QVT,USDT,Okex
219,RDN,USDT,Okex
220,RCT,USDT,Okex
221,RFR,USDT,Okex
222,REF,USDT,Okex
223,BERRY,USDT,Hitbtc
224,REN,USDT,Okex
225,REQ,USDT,Okex
226,R,USDT,Okex
227,RCN,USDT,Okex
228,SALT,USDT,Okex
229,SAN,USDT,Okex
230,SVD,USDT,Hitbtc
231,B2X,USDT,Hitbtc
232,KEY,USDT,Okex
233,SSC,USDT,Okex
234,SENT,USDT,Hitbtc
235,SHOW,USDT,Okex
236,HAND,USDT,Hitbtc
237,SC,USDT,Bittrex
238,SNGLS,USDT,Okex
239,SRN,USDT,Hitbtc
240,SMART,USDT,Hitbtc
241,SMT,USDT,Hitbtc
242,SSP,USDT,Okex
243,SPC,USDT,Hitbtc
244,SMS,USDT,Hitbtc
245,SPF,USDT,Okex
246,STC,USDT,Okex
247,EURS,USDT,Hitbtc
248,SNT,USDT,Okex
249,XLM,USDT,Binance
250,STQ,USDT,Hitbtc
251,STORJ,USDT,Okex
252,STX,USDT,Hitbtc
253,STRAT,USDT,Hitbtc
254,DATA,USDT,Hitbtc
255,SUB,USDT,Hitbtc
256,SNC,USDT,Okex
257,SBTC,USDT,Hitbtc
258,SUR,USDT,Hitbtc
259,SWFTC,USDT,Okex
260,PAY,USDT,Okex
261,USDT,USD,Bitfinex
262,XTZ,USDT,Hitbtc
263,TKY,USDT,Kucoin
264,THETA,USDT,Okex
265,TNT,USDT,Hitbtc
266,TNB,USDT,Okex
267,TCT,USDT,Okex
268,TDS,USDT,Hitbtc
269,TKA,USDT,Hitbtc
270,TOPC,USDT,Okex
271,TIO,USDT,Hitbtc
272,TRIO,USDT,Okex
273,TRX,USDT,Binance
274,TRUE,USDT,Okex
275,TUSD,USDT,Binance
276,UCT,USDT,Okex
277,UGC,USDT,Okex
278,UKG,USDT,Okex
279,UBTC,USDT,Okex
280,UTT,USDT,Hitbtc
281,UTK,USDT,Okex
282,VET,USDT,Binance
283,XVG,USDT,Bittrex
284,VERI,USDT,Hitbtc
285,VIB,USDT,Okex
286,VIT,USDT,Hitbtc
287,VIU,USDT,Okex
288,WTC,USDT,Okex
289,WAVES,USDT,Okex
290,WAX,USDT,Hitbtc
291,WIKI,USDT,Hitbtc
292,WIN,USDT,Okex
293,WRC,USDT,Okex
294,XRP,USDT,Binance
295,YEE,USDT,Okex
296,YOYO,USDT,Okex
297,ZAP,USDT,Hitbtc
298,ZEC,USDT,Hitbtc
299,ZPT,USDT,Hitbtc
300,ZSC,USDT,Hitbtc
301,ZIL,USDT,Okex
302,ZIP,USDT,Okex
