,Coin,Pair_tuple,Exchange
0,ZRX,BTC,Binance
1,2GIVE,BTC,Bittrex
2,ACE,BTC,Okex
3,ACT,USDT,Okex
4,AAC,USDT,Okex
5,ADB,BTC,Kucoin
6,ADX,BTC,Binance
7,ADH,BTC,Hitbtc
8,ADT,BTC,Bittrex
9,ELF,BTC,Binance
10,AEON,BTC,Bittrex
11,ARN,BTC,Binance
12,AE,BTC,Binance
13,DLT,BTC,Binance
14,AIDOC,BTC,Okex
15,AID,BTC,Bittrex
16,AIX,BTC,Kucoin
17,AION,BTC,Binance
18,ABL,BTC,Okex
19,AST,BTC,Binance
20,AIR,USDT,Hitbtc
21,SOC,USDT,Okex
22,ACAT,BTC,Hitbtc
23,AMB,BTC,Binance
24,AVH,BTC,Hitbtc
25,APH,BTC,Kucoin
26,APPC,BTC,Binance
27,ANT,BTC,Bittrex
28,ARCT,USDT,Hitbtc
29,ABT,USDT,Okex
30,ARDR,BTC,Hitbtc
31,ARK,BTC,Binance
32,ABY,BTC,Bittrex
33,XAS,USDT,Okex
34,ATL,BTC,Hitbtc
35,ATM,BTC,Hitbtc
36,AUC,BTC,Hitbtc
37,REP,BTC,Binance
38,AOA,BTC,Kucoin
39,AUR,BTC,Bittrex
40,ATS,BTC,Hitbtc
41,AVT,BTC,Okex
42,AXPR,BTC,Kucoin
43,BAX,BTC,Kucoin
44,BANCA,BTC,Hitbtc
45,BNT,USDT,Hitbtc
46,BNK,BTC,Hitbtc
47,BKX,BTC,Okex
48,BAT,BTC,Binance
49,BITB,BTC,Bittrex
50,BETR,BTC,Hitbtc
51,BNB,USDT,Binance
52,BAY,BTC,Bittrex
53,CAT,BTC,Kucoin
54,BTC,USDT,Binance
55,BCH,USDT,Hitbtc
56,BCD,BTC,Binance
57,BTG,BTC,Hitbtc
58,BCI,BTC,Hitbtc
59,BTCP,BTC,Hitbtc
60,BCX,BTC,Okex
61,BTX,BTC,Hitbtc
62,BCY,BTC,Bittrex
63,CSNO,BTC,Hitbtc
64,STU,USDT,Hitbtc
65,KAN,USDT,Okex
66,BSD,BTC,Bittrex
67,BTS,BTC,Binance
68,BITS,BTC,Bittrex
69,TUBE,BTC,Bittrex
70,BLK,BTC,Bittrex
71,BMC,USDT,Hitbtc
72,XBP,BTC,Hitbtc
73,ARY,BTC,Kucoin
74,BCPT,BTC,Binance
75,BMH,BTC,Hitbtc
76,BLOCK,BTC,Bittrex
77,BPT,BTC,Kucoin
78,TIX,BTC,Bittrex
79,VEE,BTC,Bittrex
80,BLT,BTC,Bittrex
81,CDT,BTC,Binance
82,BLZ,BTC,Binance
83,BFT,BTC,Bittrex
84,BOS,BTC,Kucoin
85,BNTY,BTC,Kucoin
86,BOXX,BTC,Bittrex
87,BRD,BTC,Binance
88,BRK,BTC,Bittrex
89,BRX,BTC,Bittrex
90,TOLL,BTC,Hitbtc
91,BUBO,BTC,Hitbtc
92,BU,BTC,Kucoin
93,BURST,BTC,Bittrex
94,GBYTE,BTC,Bittrex
95,BYC,BTC,Bittrex
96,BCN,BTC,Binance
97,BTM,USDT,Okex
98,CANN,BTC,Bittrex
99,CAN,BTC,Kucoin
100,CAPP,BTC,Kucoin
101,ADA,USDT,Binance
102,CXO,BTC,Kucoin
103,CIT,BTC,Okex
104,CTX,BTC,Hitbtc
105,CV,BTC,Kucoin
106,CAS,BTC,Hitbtc
107,CBC,BTC,Bittrex
108,CENNZ,BTC,Hitbtc
109,LINK,BTC,Binance
110,CAG,BTC,Kucoin
111,CHAT,BTC,Binance
112,TIME,BTC,Kucoin
113,DAY,BTC,Hitbtc
114,CND,BTC,Binance
115,COVAL,BTC,Bittrex
116,CVC,BTC,Binance
117,CLAM,BTC,Poloniex
118,XCLR,BTC,Hitbtc
119,POLL,BTC,Kucoin
120,CLOAK,BTC,Binance
121,CLD,USDT,Hitbtc
122,COFI,BTC,Kucoin
123,CHP,BTC,Kucoin
124,COIN,BTC,Hitbtc
125,CLN,BTC,Hitbtc
126,CBT,USDT,Okex
127,CSM,BTC,Hitbtc
128,DAG,BTC,Kucoin
129,CAN,BTC,Okex
130,CPY,BTC,Hitbtc
131,CTXC,USDT,Okex
132,COSM,BTC,Kucoin
133,COSS,BTC,Hitbtc
134,XCP,BTC,Poloniex
135,COV,BTC,Kucoin
136,CPC,BTC,Kucoin
137,LBA,USDT,Okex
138,CRB,BTC,Bittrex
139,CS,BTC,Kucoin
140,CMCT,BTC,Bittrex
141,CRW,BTC,Bittrex
142,CPT,BTC,Hitbtc
143,CRPT,BTC,Kucoin
144,MCO,BTC,Binance
145,C20,BTC,Hitbtc
146,CNX,BTC,Hitbtc
147,PING,BTC,Hitbtc
148,AUTO,BTC,Okex
149,CURE,BTC,Bittrex
150,CVCOIN,BTC,Hitbtc
151,CMT,BTC,Binance
152,CVT,USDT,Okex
153,CCL,USDT,Hitbtc
154,DACC,BTC,Kucoin
155,DADI,BTC,Okex
156,DAN,BTC,Hitbtc
157,DASH,BTC,Hitbtc
158,DSH,BTC,Hitbtc
159,DTA,BTC,Bittrex
160,DTB,BTC,Bittrex
161,DAT,USDT,Okex
162,DATX,BTC,Kucoin
163,DAV,BTC,Hitbtc
164,DRPU,BTC,Hitbtc
165,DEB,BTC,Kucoin
166,DCT,BTC,Bittrex
167,DBET,BTC,Hitbtc
168,MANA,BTC,Binance
169,HST,BTC,Kucoin
170,DCR,BTC,Bittrex
171,DBC,BTC,Kucoin
172,ONION,BTC,Kucoin
173,DPY,USDT,Okex
174,DENT,BTC,Binance
175,DCN,BTC,Hitbtc
176,DMD,BTC,Bittrex
177,DGB,BTC,Bittrex
178,DAXT,BTC,Hitbtc
179,DIT,BTC,Hitbtc
180,XDN,BTC,Hitbtc
181,DGD,BTC,Binance
182,DIM,USDT,Hitbtc
183,DPN,BTC,Hitbtc
184,DCC,USDT,Kucoin
185,DNT,BTC,Binance
186,DMT,BTC,Bittrex
187,MTC,BTC,Kucoin
188,DOCK,BTC,Binance
189,DOGE,BTC,Poloniex
190,DRT,BTC,Hitbtc
191,DOPE,BTC,Bittrex
192,DOR,BTC,Hitbtc
193,DOV,BTC,Hitbtc
194,DRG,BTC,Hitbtc
195,DRGN,BTC,Kucoin
196,DBIX,BTC,Hitbtc
197,DWS,BTC,Hitbtc
198,DYN,BTC,Bittrex
199,EFL,BTC,Bittrex
200,EBTC,BTC,Kucoin
201,EBST,BTC,Bittrex
202,EKO,BTC,Hitbtc
203,EDN,BTC,Kucoin
