,Pair,Exchange
0,ACT/USDT,Okex
1,ARCT/USDT,Hitbtc
2,XAS/USDT,Okex
3,AXPR/BTC,Kucoin
4,CAT/BTC,Kucoin
5,BCX/BTC,Okex
6,KAN/BTC,Okex
7,BSD/BTC,Bittrex
8,BITS/BTC,Bittrex
9,XBP/BTC,Hitbtc
10,BTM/BTC,Okex
11,CENNZ/BTC,Hitbtc
12,CSM/BTC,Hitbtc
13,DAG/BTC,Kucoin
14,CAN/BTC,Okex
15,COSM/BTC,Hitbtc
16,CPC/BTC,Kucoin
17,CS/BTC,Kucoin
18,CMT/BTC,Binance
19,CVT/USDT,Okex
20,DACC/BTC,Kucoin
21,DPN/BTC,Hitbtc
22,DCC/BTC,Kucoin
23,DOCK/BTC,Binance
24,DOR/USDT,Hitbtc
25,DWS/BTC,Hitbtc
26,EGT/BTC,Okex
27,EJOY/BTC,Hitbtc
28,EDR/BTC,Kucoin
29,ENGT/BTC,Hitbtc
30,IQX/BTC,Bitfinex
31,FAIR/USDT,Okex
32,HPB/BTC,Okex
33,HOT/BTC,Binance
34,HYC/BTC,Okex
35,IOTA/USDT,Binance
36,IPC/BTC,Okex
37,JOT/BTC,Hitbtc
38,KRM/USDT,Hitbtc
39,KIND/BTC,Hitbtc
40,LBA/USDT,Okex
41,LNC/BTC,Hitbtc
42,LET/USDT,Okex
43,LOC/BTC,Hitbtc
44,MAG/USDT,Okex
45,MXM/BTC,Hitbtc
46,MDT/BTC,Okex
47,MTN/BTC,Kucoin
48,MVP/BTC,Okex
49,MNX/BTC,Hitbtc
50,XMC/USDT,Hitbtc
51,MORE/BTC,Bittrex
52,NANJ/BTC,Hitbtc
53,NUSD/USDT,Kucoin
54,ORS/BTC,Okex
55,POLY/BTC,Binance
56,PAI/BTC,Bitfinex
57,RDN/BTC,Binance
58,SDA/BTC,Okex
59,SPC/BTC,Hitbtc
60,SPD/BTC,Hitbtc
61,EURS/USDT,Hitbtc
62,SBD/BTC,Bittrex
63,TTU/BTC,Hitbtc
64,GET/BTC,Hitbtc
65,TKA/USDT,Hitbtc
66,VITE/BTC,Okex
67,WIKI/USDT,Hitbtc
68,YOU/BTC,Okex
69,YOYO/BTC,Binance
70,YCC/BTC,Hitbtc
71,ZCO/BTC,Okex
