,Exchange,Coin,Pair,Volume
0,Binance,0x,ZRX/BTC,"3,016,423"
1,Bittrex,2give,2GIVE/BTC,"3,664"
2,Okex,Ace (tokenstars),ACE/BTC,"155,437"
3,Okex,Achain,ACT/USDT,"109,623"
4,Okex,Acute angle cloud,AAC/USDT,"291,190"
5,Kucoin,Adbank,ADB/BTC,"53,656"
6,Binance,Adex,ADX/BTC,"415,334"
7,Hitbtc,Adhive,ADH/BTC,"35,073"
8,Bittrex,Adtoken,ADT/BTC,"88,646"
9,Binance,Aelf,ELF/BTC,"1,042,322"
10,Bittrex,Aeon,AEON/BTC,"9,950"
11,Binance,Aeron,ARN/BTC,"4,633,743"
12,Binance,Aeternity,AE/BTC,"798,035"
13,Binance,Agrello,DLT/BTC,"1,707,185"
14,Okex,Ai doctor,AIDOC/BTC,"46,568"
15,Bittrex,Aidcoin,AID/BTC,"29,176"
16,Kucoin,Aigang,AIX/BTC,"35,583"
17,Binance,Aion,AION/BTC,"2,725,368"
18,Okex,Airbloc,ABL/BTC,"138,960"
19,Binance,Airswap,AST/BTC,"118,933"
20,Hitbtc,Airtoken,AIR/USDT,"40,686"
21,Okex,All sports,SOC/USDT,"660,305"
22,Hitbtc,Alphacat,ACAT/BTC,"669,045"
23,Binance,Ambrosus,AMB/BTC,"110,551"
24,Hitbtc,Animation vision cash,AVH/BTC,1
25,Kucoin,Aphelion,APH/BTC,"148,352"
26,Binance,Appcoins,APPC/BTC,"1,039,106"
27,Bittrex,Aragon,ANT/BTC,"11,898"
28,Hitbtc,Arbitragect,ARCT/USDT,612
29,Okex,Arcblock,ABT/USDT,"392,360"
30,Hitbtc,Ardor,ARDR/BTC,"198,099"
31,Binance,Ark,ARK/BTC,"215,386"
32,Bittrex,Artbyte,ABY/BTC,"6,562"
33,Okex,Asch,XAS/USDT,"14,179"
34,Hitbtc,Atlant,ATL/BTC,"1,741"
35,Hitbtc,Atmchain,ATM/BTC,34
36,Hitbtc,Auctus,AUC/BTC,213
37,Binance,Augur,REP/BTC,"662,701"
38,Kucoin,Aurora,AOA/BTC,"417,193"
39,Bittrex,Auroracoin,AUR/BTC,"3,783"
40,Hitbtc,Authorship,ATS/BTC,385
41,Okex,Aventus,AVT/BTC,0
42,Kucoin,Axpire,AXPR/BTC,"56,836"
43,Kucoin,Babb,BAX/BTC,"27,803"
44,Hitbtc,Banca,BANCA/BTC,"43,211"
45,Hitbtc,Bancor,BNT/USDT,"329,006"
